Name,Website,Email,Category,Entity_ID
Kenny Marchant,http://www.kennymarchant.com/,ajcorrigan88+kmarchantoffice@gmail.com,House battleground campaign,cc9854ec324761ef26563690d1a94229
Lee Zeldin,http://www.zeldinforcongress.com/,ajcorrigan88+lzeldinoffice@gmail.com,House battleground campaign,50b9905202326edb3f2de4325cc03530
Michael McCaul,http://www.michaelmccaul.com/,ajcorrigan88+mmccauloffice@gmail.com,House battleground campaign,b31d19827ee73921ec8f22e50cfe7a95
Pete Olson,http://www.olsonforcongress.com/,ajcorrigan88+polsonoffice@gmail.com,House battleground campaign,dbf24cfcfac24bb815be70e0d271ce50
Pete Stauber,https://stauber.house.gov,ajcorrigan88+pstauberoffice@gmail.com,House battleground campaign,6ccc93a660ac5ed4e0f8d79ea58830c3
Rob Woodall,http://robwoodall.com/,ajcorrigan88+rwoodalloffice@gmail.com,House battleground campaign,b20fe6c261f2cfbf563595fcb161bae8
Rodney Davis,http://electrodney.com/,ajcorrigan88+rdavisoffice@gmail.com,House battleground campaign,686bac6a8261d230baa44fb91e839a4e
Ross Spano,http://www.rossspano.com/,ajcorrigan88+rspanooffice@gmail.com,House battleground campaign,5dad0759de19d3841d456c44d2d08bf9
Scott Perry,http://www.patriotsforperry.com/,ajcorrigan88+sperryoffice@gmail.com,House battleground campaign,492bf6f98c1e57881f4d210b0b582183
Steve Chabot,http://stevechabot.com/,ajcorrigan88+cutetrackingnamebro@gmail.com,House battleground campaign,bd7c8bac31206807c05b92d6f4593f58
Steve King,https://steveking.house.gov,ajcorrigan88+skingoffice@gmail.com,House battleground campaign,0529c49fb37ed58d6592208600a00cae
Steve Watkins,http://steveforkansas.com/,ajcorrigan88+swatkinsoffice@gmail.com,House battleground campaign,d42d1cdc16f534ced61f37df81d3918d
Susan Brooks,http://www.susanbrooksforcongress.com/,ajcorrigan88+sbrooksoffice@gmail.com,House battleground campaign,3cd9e15c6881098f6cb0a7308dc577a3
Troy Balderson,http://www.baldersonforcongress.com/,ajcorrigan88+tbaldersonoffice@gmail.com,House battleground campaign,8e34b420516025548c65ab7111236dc6
Will Hurd,http://hurdforcongress.nationbuilder.com/,ajcorrigan88+whurdoffice@gmail.com,House battleground campaign,7c90c3f9727c52d5f42449ed398b0edd
Abby Finkenauer,http://www.abbyfinkenauer.com/,ajcorrigan88+afinkenaueroffice@gmail.com,House battleground campaign,352f71b351214e0ef92fca0633aabcc3
Abigail Spanberger,http://abigailspanberger.com/,ajcorrigan88+aspanbergeroffice@gmail.com,House battleground campaign,6cd12519ace42db0ea628b6ad273b711
Andrew Kim,http://www.andykimforcongress.com/,ajcorrigan88+akimoffice@gmail.com,House battleground campaign,0556ac40f22524d703ba2ee24c4e64ef
Angie Craig,https://www.angiecraig.com/,ajcorrigan88+acraigoffice@gmail.com,House battleground campaign,f373c0457fdae78967c43b1576091262
Ann Kirkpatrick,https://www.kirkpatrickforcongress.com,ajcorrigan88+akirkpatrickoffice@gmail.com,House battleground campaign,f82c5a18a649879ffb59caef237d63a5
Anthony Brindisi,http://brindisiforcongress.com/,ajcorrigan88+abrindisioffice@gmail.com,House battleground campaign,cf75d4ecb8255f9902fadbeac4228300
Antonio Delgado,http://www.delgadoforcongress.com/,ajcorrigan88+adelgadooffice@gmail.com,House battleground campaign,bc0680aa067b6b7312e1cb138725a8b3
Ben McAdams,http://www.benmcadamsforcongress.com/,ajcorrigan88+bmcadamsoffice@gmail.com,House battleground campaign,f2cabed467472519d6612ac4a88b4f96
Chris Pappas,http://chrispappas.org/,ajcorrigan88+cpappasoffice@gmail.com,House battleground campaign,2731e5bdbd09bb1fbed799ad967373e1
Cindy Axne,http://cindyaxneforcongress.com/,ajcorrigan88+caxneoffice@gmail.com,House battleground campaign,58f285c93c95e52ec476a03e8c153cb8
Colin Allred,http://www.colinallred.com/,ajcorrigan88+callredoffice@gmail.com,House battleground campaign,4be639dfea70e2b9ce885a0569c19f6e
Collin Peterson,http://www.petersonforcongress.com/,ajcorrigan88+cpetersonoffice@gmail.com,House battleground campaign,2cf5ef2aa2fb4e14334ef0397575ec3b
Conor Lamb,https://conorlamb.com/,ajcorrigan88+clamboffice@gmail.com,House battleground campaign,239a0ef1fefc6bd38d05b9929ee64036
Dave Loebsack,http://loebsackforcongress.org/,ajcorrigan88+dloebsackoffice@gmail.com,House battleground campaign,09e43574ad84ba97823dddae6e550f53
Dean Phillips,https://www.phillipsforcongress.org/,ajcorrigan88+dphillipsoffice@gmail.com,House battleground campaign,99e2da7d1a888026eded67b5bd647f9f
Debbie Mucarsel-Powell,http://debbiemucarselpowell.com/,ajcorrigan88+dmucarsel-powelloffice@gmail.com,House battleground campaign,293c21838feb95c34c2811bb7f39f37c
Donna Shalala,https://donnashalala.com,ajcorrigan88+dshalalaoffice@gmail.com,House battleground campaign,f272a3464ca852edb240e5d7c811d983
Elaine Luria,https://elaineforcongress.com/,ajcorrigan88+eluriaoffice@gmail.com,House battleground campaign,7dd78a724078e758cafeb803bb227425
Elissa Slotkin,http://elissaforcongress.com/,ajcorrigan88+eslotkinoffice@gmail.com,House battleground campaign,4bb4bf30836242725cd80299dac0ad34
Gil Cisneros,https://cisnerosforcongress.com,ajcorrigan88+gcisnerosoffice@gmail.com,House battleground campaign,30b763709668924383abc989e1943345
Haley Stevens,http://haleystevensforcongress.com/,ajcorrigan88+hstevensoffice@gmail.com,House battleground campaign,80d9eb538e98bc498dad232a592effbc
Harley Rouda,https://harleyforcongress.com,ajcorrigan88+hroudaoffice@gmail.com,House battleground campaign,04dfd84c37ccdf9421ba355e25529adc
Jared Golden,http://jaredgoldenforcongress.com/,ajcorrigan88+jgoldenoffice@gmail.com,House battleground campaign,3329623987e83f8788c8c4df9a99cacc
Jeff Van Drew,https://www.vandrewforcongress.com/,ajcorrigan88+jdrewoffice@gmail.com,House battleground campaign,f190eeaece458c39ae648e83960a4ca9
Joe Cunningham,http://www.joecunninghamforcongress.com/,ajcorrigan88+jcunninghamoffice@gmail.com,House battleground campaign,f02b5c5a02afd3d602b3784bf1dc3dee
Josh Harder,https://www.harderforcongress.com,ajcorrigan88+jharderoffice@gmail.com,House battleground campaign,f4d19f430427bc8855eeb67059a0f140
Katie Hill,https://www.katiehillforcongress.com,ajcorrigan88+khilloffice@gmail.com,House battleground campaign,57fa2b7c9f6ba8ff36d350dcc032038c
Katie Porter,https://katieporter.com,ajcorrigan88+kporteroffice@gmail.com,House battleground campaign,5dc0d58f615ba5ee6cdc1feffb6334f0
Kendra Horn,http://www.kendrahornforcongress.com/,ajcorrigan88+khornoffice@gmail.com,House battleground campaign,1de980fedde217028de78334fcde9c71
Kim Schrier,http://www.drkimschrier.com/,ajcorrigan88+kschrieroffice@gmail.com,House battleground campaign,f1c35af196b4f3cefe6b2ab36f3430c9
Lauren Underwood,http://www.laurenaunderwood.com/,ajcorrigan88+lunderwoodoffice@gmail.com,House battleground campaign,c5a8b85f663f9e66815eb09cae2248fd
Lizzie Pannill Fletcher,https://www.lizziefletcher.com/,ajcorrigan88+lfletcheroffice@gmail.com,House battleground campaign,eed3c7a38a17894b8306978e022e9d8d
Lucy McBath,http://lucyforcongress.com/,ajcorrigan88+lmcbathoffice@gmail.com,House battleground campaign,37eac27cbf17877223ed334b689c528f
Matt Cartwright,http://www.cartwrightcongress.com,ajcorrigan88+mcartwrightoffice@gmail.com,House battleground campaign,5785780db20c2a1f98e2272c9de2773a
Max Rose,http://www.maxroseforcongress.com/,ajcorrigan88+mroseoffice@gmail.com,House battleground campaign,15d96414a4e3256189c3975d8df3829d
Sean Casten,http://www.castenforcongress.com/,ajcorrigan88+scastenoffice@gmail.com,House battleground campaign,cd9d4b5e47a1864c322881e7f8a76901
Sharice Davids,https://www.shariceforcongress.com/intro?splash=1,ajcorrigan88+sdavidsoffice@gmail.com,House battleground campaign,ff63601a8d3b49bd2d8ff20ce6d63d5a
Susan Wild,https://wildforcongress.com,ajcorrigan88+swildoffice@gmail.com,House battleground campaign,3fb56252c6e8be07fc4ae8ca13890b4d
Susie Lee,http://susieleeforcongress.com/,ajcorrigan88+sleeoffice@gmail.com,House battleground campaign,638a446cb47864ee0d1ed3d9d179bf4d
TJ Cox,https://tjcoxforcongress.com,ajcorrigan88+tcoxoffice@gmail.com,House battleground campaign,43db27d33fc27d244734f22942868e48
Tom Malinowski,http://malinowskifornj.com/,ajcorrigan88+tmalinowskioffice@gmail.com,House battleground campaign,ce646f97b73fa4bb4a4a5293b6c2ac38
Tom O'Halleran,https://www.tomohalleran.com/,ajcorrigan88+tohalleranoffice@gmail.com,House battleground campaign,8c8fe1320aaa74801eecd735980bc7fc
Xochitl Torres Small,http://www.xochforcongress.com/,ajcorrigan88+xsmalloffice@gmail.com,House battleground campaign,5b4ba1cda30ba6284d2baefe689691a6
ACLU,https://www.aclu.org/,ajcorrigan88+aclu@gmail.com,Advocacy organization or think tank,67a457532822f299ded39412cbd8c829
Avaaz,https://secure.avaaz.org/page/en/,ajcorrigan88+avaaz@gmail.com,Advocacy organization or think tank,3809c188f9fa75b29e0b0eaa7ce899bc
Color of Change,https://colorofchange.org/,ajcorrigan88+coc@gmail.com,Advocacy organization or think tank,c1939cfc7297df09d4cb14248afe0c2a
Courage Campaign,https://couragecampaign.org/,ajcorrigan88+courage@gmail.com,Advocacy organization or think tank,32c47b478de2105eb645cc8a36aad101
CREDO Action,https://credoaction.com/about/,ajcorrigan88+credo@gmail.com,Advocacy organization or think tank,641dee766873cf7f9d19251935538e45
DCCC,https://dccc.org/,ajcorrigan88+dccc@gmail.com,Advocacy organization or think tank,24dcce0ee1268e23505002765d625e42
Demand Progress,https://demandprogress.org/,ajcorrigan88+dp@gmail.com,Advocacy organization or think tank,7e3dcd0eb754ae7985806bd0f9186f0e
Democracy for America,https://democracyforamerica.com/,ajcorrigan88+dfa@gmail.com,Advocacy organization or think tank,d34b660dd59668264eebee7009adcb8f
DNC,https://democrats.org/,ajcorrigan88+dnc@gmail.com,Advocacy organization or think tank,dbc25ff0242fc30a08228f14e658ad48
DSA,https://act.dsausa.org/cms/thanks/subscribe-dsa-medicare-all-newsletter,ajcorrigan88+dsa@gmail.com,Advocacy organization or think tank,726307ec88ed30ba07256b12158bab6a
EMILY's List,https://www.emilyslist.org/,ajcorrigan88+emily@gmail.com,Advocacy organization or think tank,ade3b9cfb406b8b6606dd954b19edb5a
Indivisible,https://indivisible.org/,ajcorrigan88+indivisible@gmail.com,Advocacy organization or think tank,7b33cf8b24bedf5a6355b5238777cbb6
League of Conservation Voters,https://www.lcv.org/,ajcorrigan88+lcv@gmail.com,Advocacy organization or think tank,e92636c50aebbb1ce0e4ba018017b8c0
MoveOn.org,https://front.moveon.org/,ajcorrigan88+moveon@gmail.com,Advocacy organization or think tank,b96c67111310898c08d4d4f041c895e3
NARAL,https://www.prochoiceamerica.org/,ajcorrigan88+naral@gmail.com,Advocacy organization or think tank,f9d0ff76be2e9872e834bb725b33ab41
Open Markets Institute,https://openmarketsinstitute.org/,ajcorrigan88+omi@gmail.com,Advocacy organization or think tank,f510d9b3b57ca1896e01b146b6ebebe1
Presente.org,http://presente.org/,ajcorrigan88+presente@gmail.com,Advocacy organization or think tank,3e031974568d8c4657e19bbb6904c8c6
Social Security Works,https://socialsecurityworks.org/,ajcorrigan88+ssw@gmail.com,Advocacy organization or think tank,28fca6de161d50ef4140555ba024692c
SumOfUs,https://www.sumofus.org/,ajcorrigan88+sum@gmail.com,Advocacy organization or think tank,1612dab2e8a968380e0c84f9c030d8c9
Swing Left,https://swingleft.org/,ajcorrigan88+swing@gmail.com,Advocacy organization or think tank,3d542191d922283520b1f9d9656d8bbe
Planned Parenthood,https://www.plannedparenthood.org/,ajcorrigan88+pp@gmail.com,Advocacy organization or think tank,2db0fee939b1cadae8c7e1ce425a3a65
GLAAD,https://www.glaad.org/,ajcorrigan88+glaad@gmail.com,Advocacy organization or think tank,8540c93022ee0de6554ee65502f77d07
NOW,https://now.org/,ajcorrigan88+now@gmail.com,Advocacy organization or think tank,0e442bbfe60c03b1791eb310cd2e5529
Center for American Progress,https://www.americanprogress.org/,ajcorrigan88+cap@gmail.com,Advocacy organization or think tank,0e3d4f38e2d94b12536b606f1b88937a
Center on Budget and Policy Priorities,https://www.cbpp.org/,ajcorrigan88+cbpp@gmail.com,Advocacy organization or think tank,824d6a5cc62895cdc70882725f9cf7ff
Adopt a State,http://adoptastate.org/,ajcorrigan88+adopt@gmail.com,Advocacy organization or think tank,fc4f7f25e98a90893d9de2990a67180e
United We Dream,https://unitedwedream.org/,ajcorrigan88+uwd@gmail.com,Advocacy organization or think tank,d1cda98ae54f7c923e520c5f83b941c0
Jay Inslee,https://www.jayinslee.com/,ajcorrigan88+inslee@gmail.com,Advocacy organization or think tank,6214670e3aa877e0337b69edc2eed012
American Conservative Union,https://www.conservative.org/,ajcorrigan88+acu@gmail.com,Advocacy organization or think tank,71debfc55f1e055057c2c3d11926dc71
American Enterprise Institute,https://www.aei.org/,ajcorrigan88+aei@gmail.com,Advocacy organization or think tank,e85af2a099694561ee7a2a7effec5c9e
American Family Association,https://www.afa.net/,ajcorrigan88+afa@gmail.com,Advocacy organization or think tank,a00a04cdcc1ba4138a4817dbdd0c9215
Americans for Prosperity,https://americansforprosperity.org/,ajcorrigan88+afp@gmail.com,Advocacy organization or think tank,4b016d9fe788d8c3122b826b5dc875a0
Campaign for Liberty,http://www.campaignforliberty.org/,ajcorrigan88+cfl@gmail.com,Advocacy organization or think tank,3919c041b274c9fd2ddd5e518b60d709
Cato Institute,https://www.cato.org/,ajcorrigan88+cato@gmail.com,Advocacy organization or think tank,e6518460be00e0960be4d46b651180b6
Claremont Institute,https://www.claremont.org/,ajcorrigan88+claremont@gmail.com,Advocacy organization or think tank,cb13bbb0a6dc58b5fb8a3dc03ae592b6
Faith and Freedom Coalition,https://www.ffcoalition.com/,ajcorrigan88+ffc@gmail.com,Advocacy organization or think tank,06231ab90175dc21477d12b845202bb0
Family Research Council,https://www.frc.org/,ajcorrigan88+frc@gmail.com,Advocacy organization or think tank,9d4d2193965121de423a73dd04cf5fe9
Free State Project,https://www.fsp.org/,ajcorrigan88+fsp@gmail.com,Advocacy organization or think tank,8f78b5a0ef924bb0e29edb7d788d37ad
FreedomWorks,http://www.freedomworks.org/,ajcorrigan88+fw@gmail.com,Advocacy organization or think tank,600bc22220fbc0ed048b9d54739a34be
Heritage Foundation,https://www.heritage.org/,ajcorrigan88+heritage@gmail.com,Advocacy organization or think tank,c035f4424994a3076c094e24c942a094
Leadership Institute,https://www.leadershipinstitute.org/,ajcorrigan88+li@gmail.com,Advocacy organization or think tank,5c0150a2ea8b6c51f4b4d2513741268c
Lincoln Network,https://joinlincoln.org/about,ajcorrigan88+ln@gmail.com,Advocacy organization or think tank,53240befa1a2f57a49b4b8cd7fe61950
National Right to Life,https://www.nrlc.org/,ajcorrigan88+nrlc@gmail.com,Advocacy organization or think tank,6604882f4b5ec0975de57080ea088b70
NRCC,https://www.nrcc.org/,ajcorrigan88+nrcc@gmail.com,Advocacy organization or think tank,0c8eaf7058f40b009d77fee18ef751e2
NRSC,https://www.nrsc.org/,ajcorrigan88+nrsc@gmail.com,Advocacy organization or think tank,63ead900d3750fb6de7dde38f5f6f565
R Street,https://www.rstreet.org/,ajcorrigan88+rstreet@gmail.com,Advocacy organization or think tank,fc103bb843f27b0b6c52e49e44f2de87
RNC,https://www.gop.com/,ajcorrigan88+gop@gmail.com,Advocacy organization or think tank,4a0afd70a78039a55dd9deef382ad260
TechFreedom,https://techfreedom.org/,ajcorrigan88+techfreedom@gmail.com,Advocacy organization or think tank,1da317fc0dd5d555006ca2e007450aec
Turning Point USA,https://www.tpusa.com/,ajcorrigan88+tpusa@gmail.com,Advocacy organization or think tank,4bc070ae73f9fd92c11f56f3c4b24ed3
Young Americans for Liberty,https://yaliberty.org/,ajcorrigan88+yal@gmail.com,Advocacy organization or think tank,aecdcba2c9c3e3b00c81fd65c14719d6
NRA,https://www.nra.org/newslettersignup/Default.aspx,ajcorrigan88+NRA@gmail.com,Advocacy organization or think tank,79cae2873c794fcd794589dc37cf907e
Focus on the Family,https://link.focusonthefamily.com/email/other/emailPage.html?,ajcorrigan88+fotf@gmail.com,Advocacy organization or think tank,2101600b21c8ab7af389ac4d4704b87b
John Birch Society,https://www.jbs.org/email-lists/,ajcorrigan88+jbs@gmail.com,Advocacy organization or think tank,55bbb0722d95e71f0187315ef18b7684
Citizens United,http://www.citizensunited.org/,ajcorrigan88+citizens@gmail.com,Advocacy organization or think tank,dfe21f3d019d16edf0260eca8f661fcc
Americans for Tax Reform,https://www.atr.org/,ajcorrigan88+atr@gmail.com,Advocacy organization or think tank,41d6819b862b7bb56c2c63c034d24cf0
End Border Crisis Now,https://endbordercrisisnow.com/,ajcorrigan88+ebcn@gmail.com,Advocacy organization or think tank,7dc594f297ba9a3c6781e1dc84a8cc8f
Tea Party Patriots,https://www.teapartypatriots.org/,ajcorrigan88+tpp@gmail.com,Advocacy organization or think tank,b3b0f0e7dc04bd30273daf161a57febd
College Republicans,http://www.crnc.org/,ajcorrigan88+crnc@gmail.com,Advocacy organization or think tank,674230f7a477450710c14c12b39c2fb2
Ann Wagner,https://wagner.house.gov/,ajcorrigan88+awagneroffice@gmail.com,House battleground official,0c5cea595602af6e7b7705e77d393d59
Brian Fitzpatrick,https://fitzpatrick.house.gov/,ajcorrigan88+bfitzoffice@gmail.com,House battleground official,a6e383dcd5008a898f26d5adabb07de4
Chip Roy,https://roy.house.gov/,ajcorrigan88+croyoffice@gmail.com,House battleground official,79457766c3f8f0bd65485246ad266801
Devin Nunes,https://nunes.house.gov/,ajcorrigan88+dnunesoffice@gmail.com,House battleground official,7672242307e4193e8e438f044954e907
Don Bacon,https://bacon.house.gov/,ajcorrigan88+dbaconoffice@gmail.com,House battleground official,6fd08255e67e2e5d77f7716c3d60c07d
Duncan Hunter,https://hunter.house.gov/,ajcorrigan88+dhunteroffice@gmail.com,House battleground official,69f4a31785ba70268d21142fd30e7066
Fred Upton,https://upton.house.gov/,ajcorrigan88+fuptonoffice@gmail.com,House battleground official,733f2a763d12977dd99d5f4cb318ed7c
George Holding,https://holding.house.gov/,ajcorrigan88+gholdingoffice@gmail.com,House battleground official,5e22e370562353f4cd8f9c389b190a12
Greg Gianforte,https://gianforte.house.gov/,ajcorrigan88+ggianforteoffice@gmail.com,House battleground official,8466802c190bcb22d626d5fda7aca8b9
Jaime Herrera Beutler,https://herrerabeutler.house.gov/,ajcorrigan88+jherreraoffice@gmail.com,House battleground official,1601f0404ee4fe0478c38480ec3914c1
Jim Hagedorn,https://hagedorn.house.gov/,ajcorrigan88+jhagedornoffice@gmail.com,House battleground official,9d34fadd28295dbf7a3b4257917bcec3
John Katko,https://katko.house.gov/,ajcorrigan88+jkatkooffice@gmail.com,House battleground official,7d3655e4a331e169683863b3eb5c2b0f
Kenny Marchant,https://marchant.house.gov/,ajcorrigan88+kmarchantoffice@gmail.com,House battleground official,9168331d7674ead0a6530843a685799f
Lee Zeldin,https://zeldin.house.gov/,ajcorrigan88+lzeldinoffice@gmail.com,House battleground official,7345942b68116e58d23cc00991a05953
Michael McCaul,https://mccaul.house.gov/,ajcorrigan88+mmccauloffice@gmail.com,House battleground official,cc77c08a15d959babe1539b9c99fd882
Pete Olson,https://olson.house.gov/,ajcorrigan88+polsonoffice@gmail.com,House battleground official,a0a6f1537f1e6e1197e46d05fdd1e668
Pete Stauber,https://stauber.house.gov/,ajcorrigan88+pstauberoffice@gmail.com,House battleground official,e4f26eb835c2da9af0f325af7d33fa69
Rob Woodall,https://woodall.house.gov/,ajcorrigan88+rwoodalloffice@gmail.com,House battleground official,5ec7daef392cff03e41e32d424935850
Rodney Davis,https://rodneydavis.house.gov/,ajcorrigan88+rdavisoffice@gmail.com,House battleground official,3489b0f250ef68041b6f15c45e04e2da
Ross Spano,https://spano.house.gov/,ajcorrigan88+rspanooffice@gmail.com,House battleground official,90362c802027e3d5d1f893d2cae120b1
Scott Perry,https://perry.house.gov/,ajcorrigan88+sperryoffice@gmail.com,House battleground official,928ce1c1b57d4ade16946439b72a784d
Steve Chabot,https://chabot.house.gov/,ajcorrigan88+schabotoffice@gmail.com,House battleground official,bd7911d0b8664baaf7018ac97dadb18e
Steve King,https://steveking.house.gov/,ajcorrigan88+skingoffice@gmail.com,House battleground official,64ab9d2a19c06af3fc44a18ced29555d
Steve Watkins,https://watkins.house.gov/,ajcorrigan88+swatkinsoffice@gmail.com,House battleground official,6389bf2fb0e8ead67da0185ba09ff63f
Susan Brooks,https://susanwbrooks.house.gov/,ajcorrigan88+sbrooksoffice@gmail.com,House battleground official,9063304d2ef4ecdb803be3dc7f1a605e
Troy Balderson,https://balderson.house.gov/,ajcorrigan88+tbaldersonoffice@gmail.com,House battleground official,10a2761836fd0815f21c6c2d9f3a1695
Will Hurd,https://hurd.house.gov/,ajcorrigan88+whurdoffice@gmail.com,House battleground official,28071bd2649170bdcc8dea2871206a44
Abby Finkenauer,https://finkenauer.house.gov/,ajcorrigan88+afinkenaueroffice@gmail.com,House battleground official,5e52e2c69f796868c7119e6dcda8b36c
Abigail Spanberger,https://spanberger.house.gov/,ajcorrigan88+aspanbergeroffice@gmail.com,House battleground official,b09d3a61f40634d31585aeb5f88bc438
Andrew Kim,https://kim.house.gov/,ajcorrigan88+akimoffice@gmail.com,House battleground official,9003a0022a80255d8676f5d6641a6754
